               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03749,            0.035285,            0.019535,             0.64272,              0.4873,             0.48457,             0.29281,            0.060583,            0.022987,            0.033909,            0.002872,            0.002872,            0.002872
                  38,            0.039024,            0.036325,            0.018437,             0.59621,             0.51471,             0.47647,             0.29042,            0.059946,            0.023265,             0.03583,            0.002674,            0.002674,            0.002674
                  39,            0.036339,            0.034481,            0.018995,             0.58063,             0.51123,             0.46935,             0.28027,            0.058992,            0.023803,            0.035545,            0.002476,            0.002476,            0.002476
                  40,            0.038019,            0.033307,            0.017775,             0.60889,             0.51778,             0.48531,             0.30279,            0.058959,            0.023727,            0.035116,            0.002278,            0.002278,            0.002278
                  41,            0.037587,            0.036017,            0.017329,             0.59289,             0.51298,             0.48457,             0.31625,            0.059834,            0.023544,            0.035403,             0.00208,             0.00208,             0.00208
                  42,            0.037042,             0.03572,            0.017718,             0.60622,             0.52482,             0.49847,             0.31504,            0.059766,            0.023497,            0.035787,            0.001882,            0.001882,            0.001882
                  43,            0.035609,            0.033741,            0.017242,             0.55481,             0.54722,             0.53709,             0.34692,            0.058564,            0.023363,            0.034009,            0.001684,            0.001684,            0.001684
                  44,            0.035253,            0.033361,            0.019387,             0.59467,             0.55448,             0.56424,             0.36534,             0.05782,            0.023331,            0.032937,            0.001486,            0.001486,            0.001486
                  45,            0.036171,            0.036164,            0.016133,             0.62453,             0.53558,             0.56377,              0.3775,            0.058304,            0.023475,            0.032697,            0.001288,            0.001288,            0.001288
                  46,            0.035463,               0.036,            0.018423,             0.58207,             0.53919,             0.55976,             0.37506,            0.058987,            0.023593,            0.032667,             0.00109,             0.00109,             0.00109
                  47,            0.033627,            0.032946,             0.01976,             0.62291,             0.54073,             0.53817,             0.35673,            0.059647,            0.023739,             0.03303,            0.000892,            0.000892,            0.000892
                  48,            0.035083,            0.036109,            0.016867,             0.59065,             0.52668,             0.54186,              0.3591,            0.059511,            0.023669,            0.032456,            0.000694,            0.000694,            0.000694
                  49,            0.034133,            0.034043,            0.015745,             0.57201,             0.53031,             0.53821,             0.34891,             0.05953,            0.023732,            0.031914,            0.000496,            0.000496,            0.000496
